         75233 function calls (73726 primitive calls) in 17.930 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      156    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 server.py:15(<module>)
        9    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 cartography.py:15(<module>)
      186    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        8    0.000    0.000    0.000    0.000 process.py:215(exitcode)
        2    0.000    0.000    0.010    0.005 context.py:64(Lock)
        3    0.000    0.000    0.000    0.000 threading.py:728(_newname)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
        1    0.000    0.000    0.000    0.000 {built-in method nt.cpu_count}
       16    0.000    0.000    0.000    0.000 process.py:85(<genexpr>)
        8    0.000    0.000    0.000    0.000 {built-in method msvcrt.open_osfhandle}
       12    0.000    0.000    0.000    0.000 typing.py:113(_type_check)
      116    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        8    0.000    0.000    0.001    0.000 spydercustomize.py:285(_patched_preparation_data)
       88    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       55    0.000    0.000    0.002    0.000 inspect.py:2829(from_callable)
        1    0.000    0.000    0.000    0.000 aviation.py:15(<module>)
      110    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       31    0.000    0.000    0.000    0.000 enum.py:157(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ra.py:15(<module>)
        1    0.000    0.000    0.000    0.000 locref.py:15(<module>)
       41    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 synchronize.py:11(<module>)
        1    0.000    0.000    0.000    0.000 gapro.py:15(<module>)
        1    0.000    0.000    0.000    0.000 syspathcontext.py:48(__enter__)
       11    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       55    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 pool.py:10(<module>)
      299    0.000    0.000    0.000    0.000 inspect.py:2525(annotation)
        1    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
        1    0.000    0.000    0.000    0.000 td.py:15(<module>)
       22    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
        8    0.000    0.000    0.000    0.000 process.py:144(is_alive)
